original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig10.42.1	c_organisms_00237
prot_L-elsbetiae_contig10.42.1	c_organisms_00238
mRNA_L-elsbetiae_contig10.43.1	c_organisms_00239
prot_L-elsbetiae_contig10.43.1	c_organisms_00240
mRNA_L-elsbetiae_contig10.44.1	c_organisms_00241
prot_L-elsbetiae_contig10.44.1	c_organisms_00242
mRNA_L-elsbetiae_contig10.45.1	c_organisms_00243
prot_L-elsbetiae_contig10.45.1	c_organisms_00244
mRNA_L-elsbetiae_contig11.892.1	c_organisms_00245
prot_L-elsbetiae_contig11.892.1	c_organisms_00246
mRNA_L-elsbetiae_contig11.893.1	c_organisms_00247
prot_L-elsbetiae_contig11.893.1	c_organisms_00248
mRNA_L-elsbetiae_contig11.894.1	c_organisms_00249
prot_L-elsbetiae_contig11.894.1	c_organisms_00250
mRNA_L-elsbetiae_contig11.895.1	c_organisms_00251
prot_L-elsbetiae_contig11.895.1	c_organisms_00252
mRNA_L-elsbetiae_contig11.896.1	c_organisms_00253
prot_L-elsbetiae_contig11.896.1	c_organisms_00254
mRNA_L-elsbetiae_contig11.897.1	c_organisms_00255
prot_L-elsbetiae_contig11.897.1	c_organisms_00256
mRNA_L-elsbetiae_contig11.898.1	c_organisms_00257
prot_L-elsbetiae_contig11.898.1	c_organisms_00258
mRNA_L-elsbetiae_contig11.899.1	c_organisms_00259
prot_L-elsbetiae_contig11.899.1	c_organisms_00260
mRNA_L-elsbetiae_contig11.900.1	c_organisms_00261
prot_L-elsbetiae_contig11.900.1	c_organisms_00262
mRNA_L-elsbetiae_contig11.901.1	c_organisms_00263
prot_L-elsbetiae_contig11.901.1	c_organisms_00264
mRNA_L-elsbetiae_contig12.1698.1	c_organisms_00265
prot_L-elsbetiae_contig12.1698.1	c_organisms_00266
mRNA_L-elsbetiae_contig12.1699.1	c_organisms_00267
prot_L-elsbetiae_contig12.1699.1	c_organisms_00268
mRNA_L-elsbetiae_contig12.1700.1	c_organisms_00269
prot_L-elsbetiae_contig12.1700.1	c_organisms_00270
mRNA_L-elsbetiae_contig12.1701.1	c_organisms_00271
prot_L-elsbetiae_contig12.1701.1	c_organisms_00272
mRNA_L-elsbetiae_contig13.2367.1	c_organisms_00273
prot_L-elsbetiae_contig13.2367.1	c_organisms_00274
mRNA_L-elsbetiae_contig13.2368.1	c_organisms_00275
prot_L-elsbetiae_contig13.2368.1	c_organisms_00276
mRNA_L-elsbetiae_contig13.2369.1	c_organisms_00277
prot_L-elsbetiae_contig13.2369.1	c_organisms_00278
mRNA_L-elsbetiae_contig13.2370.1	c_organisms_00279
prot_L-elsbetiae_contig13.2370.1	c_organisms_00280
mRNA_L-elsbetiae_contig13.2371.1	c_organisms_00281
prot_L-elsbetiae_contig13.2371.1	c_organisms_00282
mRNA_L-elsbetiae_contig13.2372.1	c_organisms_00283
prot_L-elsbetiae_contig13.2372.1	c_organisms_00284
mRNA_L-elsbetiae_contig13.2373.1	c_organisms_00285
prot_L-elsbetiae_contig13.2373.1	c_organisms_00286
mRNA_L-elsbetiae_contig13.2374.1	c_organisms_00287
prot_L-elsbetiae_contig13.2374.1	c_organisms_00288
mRNA_L-elsbetiae_contig13.2375.1	c_organisms_00289
prot_L-elsbetiae_contig13.2375.1	c_organisms_00290
mRNA_L-elsbetiae_contig13.2376.1	c_organisms_00291
prot_L-elsbetiae_contig13.2376.1	c_organisms_00292
mRNA_L-elsbetiae_contig13.2377.1	c_organisms_00293
prot_L-elsbetiae_contig13.2377.1	c_organisms_00294
mRNA_L-elsbetiae_contig14.2983.1	c_organisms_00295
prot_L-elsbetiae_contig14.2983.1	c_organisms_00296
mRNA_L-elsbetiae_contig14.2984.1	c_organisms_00297
prot_L-elsbetiae_contig14.2984.1	c_organisms_00298
mRNA_L-elsbetiae_contig14.2985.1	c_organisms_00299
prot_L-elsbetiae_contig14.2985.1	c_organisms_00300
mRNA_L-elsbetiae_contig14.2986.1	c_organisms_00301
prot_L-elsbetiae_contig14.2986.1	c_organisms_00302
mRNA_L-elsbetiae_contig14.2987.1	c_organisms_00303
prot_L-elsbetiae_contig14.2987.1	c_organisms_00304
mRNA_L-elsbetiae_contig14.2988.1	c_organisms_00305
prot_L-elsbetiae_contig14.2988.1	c_organisms_00306
mRNA_L-elsbetiae_contig14.2989.1	c_organisms_00307
prot_L-elsbetiae_contig14.2989.1	c_organisms_00308
mRNA_L-elsbetiae_contig14.2990.1	c_organisms_00309
prot_L-elsbetiae_contig14.2990.1	c_organisms_00310
mRNA_L-elsbetiae_contig14.2991.1	c_organisms_00311
prot_L-elsbetiae_contig14.2991.1	c_organisms_00312
mRNA_L-elsbetiae_contig15.3584.1	c_organisms_00313
